b,b,voiced bilabial plosive,bed,p
d,d,voiced alveolar plosive,dig,t
d͡ʒ,dZ,voiced postalveolar affricate,jump,S
dʒ,dZ,voiced postalveolar affricate,,S
ð,D,voiced dental fricative,then,T
f,f,voiceless labiodental fricative,five,f
ɡ,g,voiced velar plosive,game,k
h,h,voiceless glottal fricative,house,k
j,j,palatal approximant,yes,i
k,k,voiceless velar plosive,cat,k
l,l,alveolar lateral approximant,lay,t
ɾ,,alveolar flap,,t
m,m,bilabial nasal,mouse,p
n,n,alveolar nasal,nap,t
ŋ,N,velar nasal,thing,k
p,p,voiceless bilabial plosive,speak,p
ɹ,r\,alveolar approximant,red,r
ɹ̩,r\,alveolar approximant,red,r
s,s,voiceless alveolar fricative,seem,s
ʃ,S,voiceless postalveolar fricative,ship,S
t,t,voiceless alveolar plosive,trap,t
t͡ʃ,tS,voiceless postalveolar affricate,chart,S
tʃ,,,,S
θ,T,voiceless dental fricative,thin,T
v,v,voiced labiodental fricative,vest,f
w,w,labial-velar approximant,west,u
z,z,voiced alveolar fricative,zero,s
ʒ,Z,voiced postalveolar fricative,vision,S
ə,@,mid-central vowel,arena,@
ɚ,@`,mid-central r-colored vowel,reader,@
æ,{,near open-front unrounded vowel,trap,a
aɪ,aI,diphthong,price,a
aʊ,aU,diphthong,mouth,a
ɑ,A,long open-back unrounded vowel,father,a
ɑː,A,long open-back unrounded vowel,father,a
ɐ,,near-open central vowel,,a
eɪ,eI,diphthong,face,e
ɝ,3`,open mid-central unrounded r-colored vowel,nurse,E
ɜː,,long open mid-central unrounded vowel,,E
ɛ,E,open mid-front unrounded vowel,dress,E
i,i,long close front unrounded vowel,fleece,i
iː,,long close front unrounded vowel,,i
ɪ,I,near-close near-front unrounded vowel,kit,i
iə,,,,i
ᵻ,,,,i
oʊ,oU,diphthong,goat,o
ɔ,O,long open mid-back rounded vowel,thought,O
ɔː,,long open mid-back rounded vowel,,O
ɔɪ,OI,diphthong,choice,O
u,u,long close-back rounded vowel,goose,u
uː,,long close-back rounded vowel,goose,u
ʊ,U,near-close near-back rounded vowel,foot,u
ʌ,V,open-mid-back unrounded vowel,strut,E
ɛɹ,,,,er
ʊɹ,,,,er
ɔːɹ,,,,Or
ɑːɹ,,,,ar
əl,,,,@t
oːɹ,,,,Or
ɪɹ,,,,ir
oː,,,,O
o,,,,O
e,,,,E
a,,,,a
n̩,,,,t
ʔ,,,,
aɪə,,,,a
